,r_name,r_rating,r_review 
75,HemlataS,5.0 out of 5 stars,"

  2 saal ki pocket money se liya hai phone. Bura kuch ho hi nhi sakta hai. 😀😀😀

"
76,Adesh Chauhan,5.0 out of 5 stars,"

  It is my first Apple Phone and simply I am loving it from the moment I have it on my hand. The picture quality on screen is so cool that it is very soothing experience to my eyes. Perfect buy for me.

"
77,Rajat Mittal 1986,5.0 out of 5 stars,"

  First of all the look and feel of this phone is absolutely amazing...this is such a welcoming change after using an android phone for about 18 months...although a higher refresh would have been nicer but with this gorgeous screen you don’t really miss it...all in all a great phone !!

"
78,Vaibhav,5.0 out of 5 stars,"

  I just bought the 128gb variant and it is not white but gold…. I just love the white color….. performance is unbeatable and laser fast. If you want to buy just go for it. Don’t over think because there is no match of this beast. Now I am all set for next 3 years. 🤩😇

"
79,Susy mathew,1.0 out of 5 stars,"

  Well it’s a pointless upgrade. The Bluetooth dose not work.. it’s keeps dropping on every call.. would suggest not to by apple anymore as they are just using their name. Honestly this is 7th iPhone and I guess it’s only gotten worse.. don’t get carried away..

"
80,Mani (Varun Idiot),5.0 out of 5 stars,"

  Vera lavel eruku friends...

"
81,A. Vadiraja Rao,4.0 out of 5 stars,"

  Only mobile that comes without a suitable charger.

"
82,avinash chandra,5.0 out of 5 stars,"

  Superbbb phone.First time I am using I phone feeling better experience with I phone 12.if u will use i phone 12 then u never buy stupid oppo Vivo like android phone

"
83,Sourabh Sharma,5.0 out of 5 stars,"

  This is my first iPhone, before it I used One Plus 7T. Believe me iPhone 12 is just amazing device. Everything is perfect, no complaints for anything. Display, design, camera, battery all are amazing. Im really happy for my iPhone 12. Superb Phone 👌🏼👌🏼👌🏼😍😍😍

"
84,JK,5.0 out of 5 stars,"

  iPhone is always and iPHone. Very good CX and UX and trouble free usage. Camera this time is Super clear. Loving it !!

"
85,Balaji,5.0 out of 5 stars,"

  Product is good. And in the phone when you get call the ringtone sound initially very high after 2,3 seconds the ringtone sound will decreases in my phone, is this normal in iPhone 12 or my phone is fault piece. Please anybody clarify my doubt. Thanks in advance

"
86,NAVNEET TALWAR,4.0 out of 5 stars,"

  Size is small ... Face ID lock is gud. Rest same as earlier models

"
87,Venkadesh P,5.0 out of 5 stars,"

  Awesome photo and video quality.Performance is the top notch.as usual awesome iOS.

"
88,Tapan Kumar Behera,5.0 out of 5 stars,"

  Phone is an all-rounder. It's a very good experience be it camera, speakers, display, battery. Coming from an android device, iOS feels more stable and fluid. Some issues are there with the software but they can be ignored.

"
89,Krishna Gopalan,5.0 out of 5 stars,"

  Latest technology adds to the look and functionality! Amazed by the speed and performance!

"
90,Ramesh C,2.0 out of 5 stars,"

  Honestly if it's not for that maverick Steve.... High on hype. Android and Samsung are a zillion times better.

"
91,yellamelli vijaya prasad,4.0 out of 5 stars,"

  Very good phone.I upgraded my mobile iPhone XR with iPhone 12.Very thin design and light weight ,compared to my old iPhone XR.Amazon is delivered this product early before the promised delivery date.

"
92,Taruna Sahoo,1.0 out of 5 stars,"

  Battery is not charging beyond 80%

"
93,Maneesh kumar,4.0 out of 5 stars,"

  wonderful 12 series light weight

"
94,Anshul,5.0 out of 5 stars,"

  Apple user will always love an upgrade and new user will be delighted.I am loving this upgrade.

"
95,Asif mansoori,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   Phone gajab hai bhai. Amazon ne bahut acche se deliever kiya. Fully satisfied.

"
96,Prince kumar,5.0 out of 5 stars,"

  As expected from apple the iPhone is unbeatable, it’s performance never seize to amaze me and thanks to amazon I got it in lockdown within the time period. Thanks to Amazon the price deal was really good.

"
97,bikrams,5.0 out of 5 stars,"

  Haven’t used a smartphone this good. Would say just perfect for my need. Sometimes I feel likes touch is like butter. Battery works for me 2 days with dual sim usage.

"
98,Parminder Singh,5.0 out of 5 stars,"

  Everything about the phone can be described in a single word ‘awesome’.

"
99,harsh gupta,4.0 out of 5 stars,"

  Overall good but camera and battery life not as good as iphone 11pro

"
100,kundan kumar,1.0 out of 5 stars,"

  It hangs like anything. While typing suddenly the keyboard will freeze. Not expected from Apple

"
101,Rangz,5.0 out of 5 stars,"

  Simply superb. Best iPhone till date. It is flawless, but yes, battery could have been improved.

"
102,Ashish chaudhary,5.0 out of 5 stars,"

  Super fast delivery by Amazon perfect phone camera is better than iPhone 11

"
103,Surya kumar,1.0 out of 5 stars,"

  Over heating problum .Using 10 to 20 minutes then mobile was heated . Thats very bed with I phone 12 . I am not accepting that's kindes off problum .Very disappointed .

"
104,rahul prasad,2.0 out of 5 stars,"

  This phone is good. But it suddenly showing some issues like camera and gallery crash. If you change wallpaper too frequently and taje too much pic.

"
105,Anudeep Chowdary,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   This is first time I’m switching from android to iOSIt is just amazingBatter life is awesome

"
106,abhishek kumar,4.0 out of 5 stars,"

  Price is of brand only ,nothing else

"
107,Naveen,5.0 out of 5 stars,"

  The phone is amazing no doubt. I got 128gb white for 72K during prime day it's best to wait for any sale or price dropAmazing cameraAwesome displayBattery is good

"
108,Con,5.0 out of 5 stars,"

  I’m an iPhone fan and I loved this phone

"
109,sushant,4.0 out of 5 stars,"

  I would like to say that's awesome👍👏 phone, no weight this iPhone totally mind blowing 🥰 battery pickup is not good but at least overall hall day backup normally usages, camera quality is amazing night mode is superb

"
110,INDRAJIT PAL,5.0 out of 5 stars,"

  Everything is quite fine but only matters is battery backup is very low.Hardly for a normal user it lasts not more than18-20 hours

"
111,Amazon Customer,5.0 out of 5 stars,"

  Face ID superb …camera good could have added more futures..they should have given charger for this much money. But battery comes through out day which is good..

"
112,BJR,3.0 out of 5 stars,"

  Just reached today. So far so gud. Fast snappy and it's so lightweight, and the camera by God how can they manage to fit in such a Power ful camera sensor inside the phone, seriously an engineering marvel.

"
113,Rajat Khurana,5.0 out of 5 stars,"

  It's super responsive and has a great display

"
114,Sorav kumar R.p singh hospital indra road guru Kirpa variety store 7986727779,1.0 out of 5 stars,"

  This product was hang plz replace the iPhone no work sim tray battery problem

"
115,Prashant Moily,5.0 out of 5 stars,"

  I am a first time user but must say actually a privilege to own one and an awesome user experience.On time Delivery and to the mark packaging from Amazon also added for the smiles at my place

"
116,Amazon Customer,5.0 out of 5 stars,"

  If you don't have an iPhone then you don't have an iPhone

"
117,Laxman,5.0 out of 5 stars,"

  Indeed its one of the best phone smooth screen smooth touch a good battery backup a top notch camera what else you want and of course apple’s security.

"
118,RRS,5.0 out of 5 stars,"

  I don’t think one would regret after having iPhone 12. Yes, the battery life would have been better, but is acceptable. It’s nothing like draining in no time. One would really enjoy this latest model by Apple rather than counting on battery life.

"
119,Yogendra Reddy,3.0 out of 5 stars,"

  Over hiping product and camera as blur picture quality

"
120,roopesh,5.0 out of 5 stars,"

  Long term apple products user. Love everything about the brand

"
121,Beric Dondarrion,3.0 out of 5 stars,"

  Same old apple. Overpriced phone with standard features. Works well enough.

"
122,Ravi k.,5.0 out of 5 stars,"

  The iOS experience is just unreal.the optimisation of the system is top of the world.mine was made in India unit.❤️❤️

"
123,Malavika Nair,5.0 out of 5 stars,"

  Absolutely loving this device. I switched from Android to Apple and the transition was very smooth.

"
124,Annusha Kumar G.R,1.0 out of 5 stars,"

  Worst product.. don’t buy from Amazon.. they deliver only defective product

"
125,Vairamudi M,5.0 out of 5 stars,"

  Amazing...... Excellent..... Easy to handle....

"
126,Abhay Pratap Singh,5.0 out of 5 stars,"

  Battery life is good, lasts for 8-10 hours once fully chargedScreen quality is really great

"
127,Kuttyshrank,5.0 out of 5 stars,"




                    The media could not be loaded.
                


"
128,Rishika Somani,1.0 out of 5 stars,"

  I had bought this phone from Appario Retail Pvt Ltd in May '21 and this phone was damaged and showed liquid damage without any water entrance. Such a disappointment. This phone came as defective.

"
129,Elumalai,5.0 out of 5 stars,"

  This is my 1st ios device. So I was amused to use this...Battery life is awesome.. when it is compared to other iphone...ND I was surprised  while using this iPhone only because of the display..

"
130,Kumar Prakarsh,4.0 out of 5 stars,"

  In these times when someone is usually masked up, Apple should embed optional on screen fingerprint scanner, because it’s tough to mask down everytime you want to unlock the phone. So is entering the PIN

"
131,Senthil,4.0 out of 5 stars,"

  Product is very good… liked all the features of iPhone 12. Battery life is not great and sometimes has issues with volume

"
132,Amazon Customer,2.0 out of 5 stars,"

  Picture quality of made in outside India phone is excellent than Indian made

"
133,Sunil Oberai,5.0 out of 5 stars,"

  This is simply awesome. What more can i say, its the latest iphone.

"
134,Nishant Mahere,1.0 out of 5 stars,"

  Worst phone.

"
135,Ravi,5.0 out of 5 stars,"

  Superb switch from IPhone7 to iPhone 12 after lost my phone I used android oneplus nord CE for couple of weeks. but finally landed to iPhone camera superb very smooth

"
136,Mona,4.0 out of 5 stars,"

  No offers for SBI or Citibank cards.

"
137,Amazon Customer,1.0 out of 5 stars,"

  Not good

"
138,Mohan,1.0 out of 5 stars,"

  This is not a good device..I got bad quality mobile..shameful to iPhone brand for like this type of products

"
139,Ashish Dhaundiyal,5.0 out of 5 stars,"

  Iphone is Iphone no comparison with any other phone.Best camera.performance is good but battery is a bit negative side of this

"
140,Amazon Customer,4.0 out of 5 stars,"

  Very nice product good battery backup and natural Cooler capture in a camera soothe function

"
141,Tushar Malhotra,5.0 out of 5 stars,"

  Should hv bought the 11 pro instead of the 12. More features, better built, much better looks.

"
142,kudrat,5.0 out of 5 stars,"

  Great

"
143,Amazon Customer,5.0 out of 5 stars,"

  This phone is awesome. What I really felt great abt is the battery life and display. Although the charging time is approx 2 hrs.

"
144,Kausik De,4.0 out of 5 stars,"

  Great

"
145,ankan mishra,5.0 out of 5 stars,"

  Upgraded from Iphone X to 12.Hassle free data transfer.

"
146,Naveen,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   Supreme quality ever.. but in charging phone heating too much otherwise no dought it is worth in this price point

"
147,Rehan Akhter,3.0 out of 5 stars,"

  While charging, it gets heated.. it’s EMV, it is not worth of money, it’s display get zoomed in while lock the phone, it is tough to un lock while zoom in display

"
148,Haris Khan,5.0 out of 5 stars,"

  I really liked the design of my iphone 12 the camera, gaming performance through the A14 bionic chip is mind blowing, the battery life is also good . From my point this iphone is worth buying

"
149,Mohammed saeed ul zafar,5.0 out of 5 stars,"

  Great phone i was an android fan since the beginning and when i saw the iPhone 12 i wanted to switch to ios. This is the best phone to buy right now

"
150,Vijin,5.0 out of 5 stars,"

  I was switching from Andriod to iOS. The experience is too good. The camera quality and overall performance are excellent. After all, it's an iPhone! expectations meet :)

"
151,Vijay,4.0 out of 5 stars,"

  Loved it

"
152,Naveen,5.0 out of 5 stars,"

  Practical Phone for practical life

"
153,flex,5.0 out of 5 stars,"

  Love it

"
154,Mk singh,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   Just killing awesome 👍

"
155,Sameed Ali,5.0 out of 5 stars,"

  Switched from android and I am happy how simple, fast and secure it is. Happy with the phone so far 👍

"
156,Poonam Chauhan,5.0 out of 5 stars,"

  Nothing can be better than this. I am on top of the world now with this iPhone XII

"
157,Dr N Mariappan,4.0 out of 5 stars,"

  Nice model from iPhone all features are good except battery and its go up to maximum 8 hrs

"
158,Vinod Konka,1.0 out of 5 stars,"

  My iPhone 12 paint chipped in < 2weeks and apple saying cosmetic damage.

"
159,Sunny Singh,5.0 out of 5 stars,"

  Wonderful experience, i have no words for the product to explain his efficiency design.

"
160,Thirumalairaja,3.0 out of 5 stars,"

  My iPhone 12 display are very warm yellow even I turned off truetone and nightshift.

"
161,Samrat Ashok,5.0 out of 5 stars,"

  Green color is best. Phone is liquid fast and camera pics are amazing

"
162,Parikshit Sharma,5.0 out of 5 stars,"

  What to say about itJust switch from Android to iOSJust wooow thats amazing oneLove the productI already used sum of the product of Apple

"
163,Jaspreet,5.0 out of 5 stars,"

  One day delivery, Original piece , Great offer and discount, Overall good experience.

"
164,Dileep kumar gupta,1.0 out of 5 stars,"

  Amazing phone but facing noise issue.  Its noice cancellation is not working

"
165,sidhesh.kumtekar,3.0 out of 5 stars,"

  The colour of the phone is very light with which I am not impressed. The phone gets heated quickly which I didn’t expect, Face recognition not working when mask on.

"
166,Swati Mondal,4.0 out of 5 stars,"

  Everything is good but battery life is poor.

"
167,AGAM,5.0 out of 5 stars,"

  Great.Simply great.

"
168,Avinash Kumar,5.0 out of 5 stars,"

  I am writing this review after 2 months of use. Battery backup is not good so far. Very disappointed..

"
169,Chandra Sekhar,5.0 out of 5 stars,"

  Perfect phone

"
170,Dosani,1.0 out of 5 stars,"

  iphone box is damaged from backside, i have not opened the seal, i want to replace the item

"
171,Madangir Giri,5.0 out of 5 stars,"

  Good one first time using

"
172,Arjun,5.0 out of 5 stars,"

  It’s apple. What else reason do by you need?

"
173,Harshith G.,5.0 out of 5 stars,"

  The phone is a beast and I have no issues with phone but the battery could have been better

"
174,RAMANA MIDDE,1.0 out of 5 stars,"

  iOS updates sucks

"
175,Manish Kumar Dhaka,5.0 out of 5 stars,"

  I Loved I Phone X, because of size & design !!This one better in both aspects, it’s a very light phone !!

"
176,Reetimukta Rath,2.0 out of 5 stars,"

  Overall iPhone is very nice but battery life is very very bad and phone getting heat,also camera is problem when in night mode.

"
177,manish kumar,1.0 out of 5 stars,"

  Don’t buy it from Amazon they had send me a Dubai imported product, the phone heats so much that I even can’t hold it

"
178,Subhasish Pati,5.0 out of 5 stars,"

  Good

"
179,DD,4.0 out of 5 stars,"

  I still can't believe I bought it for 79000 rps

"
180,Gaurav Rajawat,5.0 out of 5 stars,"

  Best phone in market right now. I switched on this phone from google pixel 2xl and believe me I am completely satisfied with it’s performance.

"
181,Nik,5.0 out of 5 stars,"

  The best device Apple has manufactured.Amazon delivery was fast and robust.

"
182,nagendra,1.0 out of 5 stars,"

  Worst iPhone don’t buyNo proper return policy

"
183,Jayapal,5.0 out of 5 stars,"

  Never disappointed with any Apple purchases. Excellent phone and good upgrade from iPhone 8 to 12.

"
184,Corina,5.0 out of 5 stars,"

  Perfect screen size, maximum features and gives a feel good factor to use it.

"
185,Vaibhav Pratap Singh,5.0 out of 5 stars,"

  Iphone 12 is by far the best iPhone no wonder why its getting all the praises from everyone. Thanks amazon for smooth delivery.

"
186,shekhar sharma,5.0 out of 5 stars,"

  Class

"
187,RAJA,4.0 out of 5 stars,"

  Good

"
188,Hitendrasinh,2.0 out of 5 stars,"




                    The media could not be loaded.
                


"
189,Swadha,1.0 out of 5 stars,"

  Not like want to change this to apple 12 proPls advice how to do

"
190,Suraj,5.0 out of 5 stars,"

  Little hot phone. GamingWorld best phone in my handDon’t worry

"
191,Pratik,3.0 out of 5 stars,"

  After 1-2 months use camera ring colour damage..

"
192,Pranav,5.0 out of 5 stars,"

  iOS is smooth but has many restrictions with file sharing. Worth the price I got it for in discount.

"
193,pradeep kumar DJ,5.0 out of 5 stars,"

  Top notch product

"
194,S D,5.0 out of 5 stars,"

  It’s apple. Its the best there is

"
195,Abhinay dwivedi,5.0 out of 5 stars,"

  Its osum phone.!

"
196,Sharath,5.0 out of 5 stars,"

  Low light photography is killer in this phone

"
197,KALYAN CHAKRAVARTHY PARLE,5.0 out of 5 stars,"

  Good

"
198,kalpana singh,5.0 out of 5 stars,"

  Just amazing

"
199,Suresh Reyyi,4.0 out of 5 stars,"

  It's n not value for money. Apple iphones are expensive.

"
200,Swati Chandra,5.0 out of 5 stars,"

  iPhone is working fine. But the battery life of all new iPhone is really poor.

"
201,Otyman,1.0 out of 5 stars,"

  The phone heatup so quickly ..not good

"
202,Raj Ray,5.0 out of 5 stars,"

  The best!

"
203,MdAfzal imam,5.0 out of 5 stars,"

  Best smartphone ever in my life

"
204,pavankumar,4.0 out of 5 stars,"

  Bought iphone 12 this month may 5th, phone is amazing and working super cool.

"
205,Mohit,5.0 out of 5 stars,"

  Best phone one can ever get.If you r old iphone user, this is one for you

"
206,Mahesh Siddalingappa,5.0 out of 5 stars,"

  Product is awesome and worth buying.

"
207,Rohan Sharma,5.0 out of 5 stars,"

  Amazing Apple phone after long

"
208,Amazon Customer,5.0 out of 5 stars,"

  Blew my mind after the switch from 6s to 12..Stunning look and feel

"
209,shahid hussain,1.0 out of 5 stars,"

  I had to return this phone but no option is showing what should I do please help me

"
210,Abir kumar,5.0 out of 5 stars,"

  The  two important feature I like abt it are  light weight and very comfortable to hold.Battery lasts easily for a day.

"
211,Amazon Customer,5.0 out of 5 stars,"

  Well been using it for 2 weeks now. Phone is pretty good. If you can afford it you should buy it.

"
212,Gaurav Trivedi,5.0 out of 5 stars,"

  I feel veryyyyyyy gooooodddd because it's screen is very good and touch response is awesome I am promoting it buts very goooodddd

"
213,Amazon Customer,5.0 out of 5 stars,"

  Good phone

"
214,Organic Harvest,5.0 out of 5 stars,"

  Simply Loving it!! Amazing phone. Battery could have been better but overall a great phone. Would definitely recommend

"
215,Amazon Customer,5.0 out of 5 stars,"

  Camera quality, light weight and smart size of this smartphone makes it superior over its competitors.

"
216,sarika,1.0 out of 5 stars,"

  Battery is discharging even on standby

"
217,shwetabh singh,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   Always impressive

"
218,Pradeepa D,2.0 out of 5 stars,"

  Costly heating problem

"
219,nithin soman,5.0 out of 5 stars,"

  Great creation by apple.. nothing much to say .  Beautiful piece of art…

"
220,Dulichand,5.0 out of 5 stars,"

  All good but bettory backup is too much short duration only 3-4 hour while capure pictures and videos

"
221,Kong ratan,5.0 out of 5 stars,"

  Everything good

"
222,Naveen Kumar,5.0 out of 5 stars,"

  Nice phone

"
223,amarjeet,5.0 out of 5 stars,"

  Amazon with amazing delivery and excellent product. Best app for shopping electronics items.

"
224,Naren,5.0 out of 5 stars,"

  Good

"
225,Camelia Mondal,5.0 out of 5 stars,"

  It was a very good purchase at such a good discounted rate

"
226,DEBASISH NAYAK,5.0 out of 5 stars,"

  Superb

"
227,Sashanka,5.0 out of 5 stars,"

  Best smartphone of this era

"
228,Sabir Azam,5.0 out of 5 stars,"

  I think different phone from the others so u can purchase ie expensive bt deserve it

"
229,Jaypal singh,5.0 out of 5 stars,"

  Awesome product super 🤗🤗🤗👌👌👌

"
230,Masood,5.0 out of 5 stars,"

  Great upgrade from 11 to 12

"
231,bhavna,5.0 out of 5 stars,
232,Saurav,5.0 out of 5 stars,"

  Katai sexy

"
233,SUJEETH REDDY,5.0 out of 5 stars,"

  Super Camera with a good battery and great OS

"
234,Radonco Solutions,5.0 out of 5 stars,"

  I liked the finish I don’t like the missing charger

"
235,sagar mukherjee,5.0 out of 5 stars,"

  Finding the phone easy to use and it has all the features as detailed.

"
236,N S CHAHAR,3.0 out of 5 stars,"

  Not buy for seller please game time is heating problam.

"
237,manish,5.0 out of 5 stars,"

  Back to IOS and great decision to buy iPhone again

"
238,Deepak singh,5.0 out of 5 stars,"

  Nice

"
239,MIRZA RIAZ BAIG,5.0 out of 5 stars,"

  Everything is perfect

"
240,Virender Singh,4.0 out of 5 stars,"

  Charging cable is not original takes a lot of time to charge

"
241,Malay,5.0 out of 5 stars,"

  Nice product

"
242,ajay,3.0 out of 5 stars,"

  Why it is heating up while charge

"
243,Harmeet,5.0 out of 5 stars,"

  Value for money

"
244,Ashish,1.0 out of 5 stars,"

  Not buy from this seller,after use of one month microphone not working

"
245,K Ramakrishnudu,3.0 out of 5 stars,"

  Touch screen is not that much good by compare with previous versions..

"
246,Shashwat sahil singh,5.0 out of 5 stars,"

  As expected by apple.Apple the name is enough

"
247,Dilip,5.0 out of 5 stars,"

  Excellent

"
248,Ashay,5.0 out of 5 stars,"

  The best iPhone till now. Display, camera, performance

"
249,Amritpal,5.0 out of 5 stars,"

  End one

"
250,Avinash Yadav,5.0 out of 5 stars,"

  Good smartphone better performance with A14 Bionic.

"
251,Laxman,5.0 out of 5 stars,"

  The camera could have been better but still great pictures

"
252,Bharat,5.0 out of 5 stars,"

  Nice

"
253,TALIB MALIK,5.0 out of 5 stars,"

  Good product

"
254,Shiva,4.0 out of 5 stars,"

  Not too good but u can stay with iphone 11

"
255,Sharique shaz,4.0 out of 5 stars,"

  Owsom

"
256,Himanshu,5.0 out of 5 stars,"




                    The media could not be loaded.
                


"
257,Amazon Customer,5.0 out of 5 stars,"

  best phone!!!

"
258,Vartul,5.0 out of 5 stars,"

  Worth it.

"
259,ASHISH S.,5.0 out of 5 stars,"

  Phone is superb

"
260,Ankush Dabra,5.0 out of 5 stars,"

  Fantastic switch over from android to ios

"
261,Saurabh,5.0 out of 5 stars,"

  Apple gives what we pay

"
262,Ritesh Pawar,5.0 out of 5 stars,"

  Great product

"
263,Rohit Singh,5.0 out of 5 stars,
264,vishal,5.0 out of 5 stars,"

  Loved the color.

"
265,Aravind Madineni,4.0 out of 5 stars,"

  Good

"
266,Amazon Customer,5.0 out of 5 stars,"

  Nothing to dislike

"
267,safia sarfaraz,5.0 out of 5 stars,"

  Overall very good

"
268,Binin,4.0 out of 5 stars,"

  screen on time is 7 hours

"
269,Shoaib Ahmed,5.0 out of 5 stars,"

  Best Iphone ever Battery Life Is ok No problem

"
270,venkateswarlu,4.0 out of 5 stars,"

  Everything is working good .

"
271,Amazon Customer,5.0 out of 5 stars,"

  Value for money

"
272,ANNEM KONDAREDDY,5.0 out of 5 stars,"

  Nice mobile

"
273,Devaprasad,5.0 out of 5 stars,"

  Awesome product and genuine seller

"
274,Pavam Sarkar,5.0 out of 5 stars,"

  It has the best haptics!!!

"
275,vineeth,4.0 out of 5 stars,"

  I just love the phone

"
276,Rajesh Kumar,5.0 out of 5 stars,"

  Charger and battery is not good

"
277,Dhiren Jain,4.0 out of 5 stars,"

  All specifications are perfect

"
278,sagar,5.0 out of 5 stars,"

  Superb Product made by Apple.

"
279,Shashikant,5.0 out of 5 stars,"

  Loved the new Iphone.

"
280,Sandeep Singh,5.0 out of 5 stars,"

  Mobile is best

"
281,shreha,3.0 out of 5 stars,"

  Apps were not working sometimes

"
282,Raj paul,5.0 out of 5 stars,"

  Blind buy

"
283,MD RAHBAR ISLAM,5.0 out of 5 stars,"

  Very good

"
284,Gaurav,5.0 out of 5 stars,"

  Very good phone indeed.

"
285,Ajay,5.0 out of 5 stars,"

  Wonderful device, Loved Apple

"
286,Sarang,5.0 out of 5 stars,"

  I liked it too much🥰🥰🥰

"
287,Rakesh,3.0 out of 5 stars,"

  Not as expected abt this brand.

"
288,RAMAJI VANJARA,5.0 out of 5 stars,"

  Super job

"
289,Prem,5.0 out of 5 stars,"

  😊👍👌🙏

"
290,SATYA SALES,5.0 out of 5 stars,"

  Loved it#the beast

"
291,Srinidhi A,5.0 out of 5 stars,"

  An amazing product

"
292,YOGENDRA SINGH,5.0 out of 5 stars,"

  Exceptional

"
293,Shivam singh,5.0 out of 5 stars,"

  value for money

"
294,P veeru,5.0 out of 5 stars,"

  King of mobiles

"
295,Mahesh Babu K,5.0 out of 5 stars,"

  Screen Quality

"
296,Bhupinder Singh,5.0 out of 5 stars,
297,Sarita sharma,5.0 out of 5 stars,"

  Waaah

"
298,Sandeep sharma,2.0 out of 5 stars,"

  Ok not gud 👍

"
299,Md sakib khan,5.0 out of 5 stars,"

  Awesomeness

"
300,Amazon Customer,5.0 out of 5 stars,"

  Awesome

"
301,Badri Narayanan,5.0 out of 5 stars,"

  Excellent

"
302,chanchal singh,5.0 out of 5 stars,"

  osmmm phone fabulous

"
303,jagdeep singh makkar,5.0 out of 5 stars,"

  I don’t like to much

"
304,Siddharth Kesarwani,5.0 out of 5 stars,
305,Tilak,4.0 out of 5 stars,"

  Nice phone

"
306,Pavan H H,5.0 out of 5 stars,"

  Nothing

"
307,Ayush Gajbhiye,5.0 out of 5 stars,
308,Amazon Customer,5.0 out of 5 stars,
309,Tarun Sagar,5.0 out of 5 stars,"

  Impressive

"
310,Achyuth kumar,5.0 out of 5 stars,"

  excellent

"
311,Pavan Sai,4.0 out of 5 stars,"

  Nice

"
312,Sritam Kumar Panigrahy,5.0 out of 5 stars,"

  Best

"
313,anmoldeep singh,5.0 out of 5 stars,"

  Good

"
314,Amazon Customer,5.0 out of 5 stars,"

  Yes it’s awesome

"
315,Aaqil.vem,5.0 out of 5 stars,"

  👍

"
316,Rohit chourasia,5.0 out of 5 stars,"

  Owesome

"
317,Amazon Customer,3.0 out of 5 stars,
318,Siraj Ali,4.0 out of 5 stars,"

  Nice

"
319,Nijanth Reddy,4.0 out of 5 stars,"

  Not bad

"
320,Vijay Singh,5.0 out of 5 stars,"

  Battery 🔋life

"
321,Amazon Customer,5.0 out of 5 stars,"

  Everything is fine

"
322,N,4.0 out of 5 stars,"

  Very op

"
323,BMR MTT,5.0 out of 5 stars,"

  Sexy

"
324,Atulya Nagarsenkar,5.0 out of 5 stars,"

  Excellent!!!!

"
325,Rahul Solao,4.0 out of 5 stars,"

  Best mobil

"
326,Vishal,5.0 out of 5 stars,"

  Great phone

"
327,shekhar,5.0 out of 5 stars,"

  Good phone

"
328,Karan Vitthal Waghbije,5.0 out of 5 stars,"

  Very good

"
329,Afzal,5.0 out of 5 stars,"

  Amazing mobile

"
330,Ajijur Rahaman,5.0 out of 5 stars,"

  Nice

"
331,Abhishek singh,5.0 out of 5 stars,"

  👍

"
332,Amit,5.0 out of 5 stars,"

  Good

"
333,Basavaraj,5.0 out of 5 stars,"

  Gd product

"
334,Habibullah k.,4.0 out of 5 stars,"

  Nice

"
335,Gardhara singh,5.0 out of 5 stars,"

  It's working fine

"
336,Ujjwal,5.0 out of 5 stars,"

  Like

"
337,Nikhil Kumar singh,5.0 out of 5 stars,"

  Awesome

"
338,sandeep,5.0 out of 5 stars,"

  Excellent

"
339,#jpkworld,5.0 out of 5 stars,"

  ❤️

"
340,Amazon Customer,4.0 out of 5 stars,"

  Again a premium build. Nice to hold. Camera performance is really good. 6 to 8 hrs screen on time. Perfect size, not too small or not too big.

"
341,vanshika,1.0 out of 5 stars,"

  If you’re investing so much money , buy from original and certified store only , a lot of defective pieces on amazon

"
342,sandeep,1.0 out of 5 stars,"

  My redmi k20 pro performs way better in terms of performance, battery & camera when compared with this iphone 12. Just you need to use Google camera apk in your k20 pro to experience much better quality of camera than stock app. Bad apple strategy to sell anything at any price. Innovations in apple are done at least after 5 years of when android innovates

"
343,shrikanth Bannigolkar,4.0 out of 5 stars,"

  This is my 2nd Apple IPhone. Before I had IPhone SE(1st model)+Looks Awesome+Amazing Battery Backup+Great Touch and Display+Sound Quality is Awesome+Superb Build Quality-Mobile gets heat-Camera could have been better-Must have included Charging Adopter in Box

"
344,Suraj Raj,5.0 out of 5 stars,"

  One of the best phone to switch-to for first time IOS users, great for Gamers, Normal users with Fb, Insta, Songs Videos etc. Don't expect the best battery life with it, However if you use 20 Wat charger the phone would get charged soon.

"
345,The Chosen One,1.0 out of 5 stars,"

  I bought this phone a week ago, it was working working fine till yesterday, then i accidentally drppoed it and it completely shattered. It couldn't even survive a fall from the 4th floor. Stupid phone

"
346,Eunus Mondal,5.0 out of 5 stars,"

  I got it from Apple online india, People who say battery life is not good they are just laying battery life is good for heavy user it will last full day, for gamers 5.5 to 6.5 hours on continuous uses. price is higher but everything good and well built and software experience is good, sound and display is excellent. normal 4g is 60 to 70 faster than any other phones. price is higher but its a great phone.

"
347,Sri Latha,4.0 out of 5 stars,"

  I wish it had a fingerprint sensor . It would have been very easy to open it. But I love the size. I wish apple makes a smaller phone of around 4.5 to 5inces with a fingerprint sensor

"
348,Kay Tee,1.0 out of 5 stars,"

  Bought this phone but wanted a 128 GB phone. We had not opened the phone and told the customer service to replace it with 128 GB. After being on the call for 25 minutes, all they kept on saying that it can’t be replaced. And this is with Prime membership. Wtf!

"
